line,col,seq,par,absdiff
110,3,-0.019162,-0.019256,9.400000000000033e-05
82,4,0.533352,0.53326,9.200000000009201e-05
45,4,-0.38023,-0.38032,8.999999999997899e-05
132,3,0.004609,0.004695,8.600000000000014e-05
58,4,0.467904,0.467819,8.500000000000174e-05
126,3,-0.013948,-0.014033,8.5e-05
44,4,-0.398365,-0.398443,7.799999999996698e-05
56,3,0.004456,0.004533,7.699999999999981e-05
41,4,-0.395289,-0.395366,7.699999999999374e-05
143,3,-0.008705,-0.008632,7.299999999999841e-05
144,3,-0.008705,-0.008632,7.299999999999841e-05
73,3,-0.001433,-0.001504,7.099999999999988e-05
25,3,-0.003765,-0.003833,6.799999999999992e-05
42,4,-0.42741,-0.427477,6.699999999998374e-05
107,4,0.488577,0.48851,6.699999999998374e-05
7,4,-0.321579,-0.321513,6.60000000000105e-05
23,4,-0.321579,-0.321513,6.60000000000105e-05
42,3,-0.055317,-0.055382,6.500000000000256e-05
137,3,0.015998,0.015934,6.399999999999809e-05
101,3,0.119929,0.119867,6.199999999999262e-05
62,4,0.549364,0.549423,5.900000000003125e-05
31,3,-0.019234,-0.019175,5.9000000000000025e-05
32,3,-0.019234,-0.019175,5.9000000000000025e-05
22,3,0.02406,0.024118,5.7999999999999025e-05
38,3,0.078792,0.078735,5.7000000000001494e-05
40,3,-0.010218,-0.010275,5.699999999999976e-05
142,3,-0.00496,-0.005014,5.400000000000023e-05
140,3,-0.011114,-0.011167,5.299999999999923e-05
37,3,0.305936,0.305985,4.900000000002125e-05
74,4,0.486263,0.486216,4.700000000001925e-05
138,3,-0.00881,-0.008857,4.700000000000017e-05
127,3,-0.028353,-0.028307,4.60000000000009e-05
128,3,-0.028353,-0.028307,4.60000000000009e-05
124,3,-0.021836,-0.021882,4.599999999999743e-05
13,4,-0.398065,-0.398111,4.599999999999049e-05
29,4,-0.398065,-0.398111,4.599999999999049e-05
39,3,0.015175,0.01513,4.49999999999999e-05
43,3,-0.055743,-0.0557,4.300000000000137e-05
23,3,0.006349,0.006392,4.30000000000005e-05
83,3,0.196312,0.196269,4.299999999998749e-05
11,4,-0.447763,-0.447725,3.8000000000038e-05
27,4,-0.447763,-0.447725,3.8000000000038e-05
93,3,-0.024307,-0.024344,3.700000000000231e-05
71,4,0.635118,0.635154,3.6000000000036e-05
102,3,0.096081,0.096047,3.400000000000625e-05
72,3,0.039847,0.039813,3.399999999999931e-05
8,4,-0.359387,-0.359419,3.199999999997649e-05
24,4,-0.359387,-0.359419,3.199999999997649e-05
59,3,-0.058997,-0.058969,2.8000000000000247e-05
30,3,-0.001448,-0.001476,2.800000000000003e-05
27,3,-0.027022,-0.026996,2.6000000000001716e-05
63,4,0.550448,0.550423,2.5000000000052758e-05
43,4,-0.431208,-0.431231,2.2999999999995246e-05
122,4,0.415482,0.415505,2.2999999999995246e-05
28,3,-0.013466,-0.013488,2.199999999999945e-05
106,4,0.437949,0.437968,1.9000000000046757e-05
141,3,-0.00602,-0.006037,1.6999999999999654e-05
26,3,-0.024465,-0.024449,1.6000000000002124e-05
103,4,0.538616,0.538631,1.4999999999987246e-05
90,4,0.457522,0.457509,1.2999999999985246e-05
123,4,0.485497,0.485485,1.2000000000012001e-05
108,3,-0.036856,-0.036847,9.000000000002062e-06
47,4,-0.385883,-0.385874,8.999999999981245e-06
3,6,0.054009,0.054002,7.000000000000062e-06
19,6,0.054009,0.054002,7.000000000000062e-06
