itc_max: 800000, nc: 1, n_tr: 10, n_out: 100, n_vort: 100
beta: 1300.000000, b_art: 0.000000, dtau_f: 1000000.000000, final_time: 1.000000,
eps: 0.000100, eps_mass: 0.000100, start_mode: 0
[ITER 51][CUDA] kernel_solve_V = 1442.339355 ms
[ITER 51][CUDA] kernel_solve_P = 165.342911 ms
[ITER 51][CUDA] kernel_solve_Z = 508.928406 ms
[ITER 51][CUDA] kernel_solve_C = 532.825623 ms
[ITER 51][CUDA] H2D = 0.000000 ms
[ITER 51][CUDA] D2H = 0.000000 ms
[ITER 51][CUDA] timestep_total = 4138.522949 ms
[ITER 52][CUDA] kernel_solve_U = 1412.733643 ms
[ITER 52][CUDA] kernel_solve_V = 1442.267212 ms
[ITER 52][CUDA] kernel_solve_P = 165.137390 ms
[ITER 52][CUDA] kernel_solve_Z = 509.245636 ms
[ITER 52][CUDA] kernel_solve_C = 532.644226 ms
[ITER 52][CUDA] H2D = 0.000000 ms
[ITER 52][CUDA] D2H = 0.000000 ms
[ITER 52][CUDA] timestep_total = 4138.456055 ms
[ITER 53][CUDA] kernel_solve_U = 1408.224609 ms
[ITER 53][CUDA] kernel_solve_V = 1438.015503 ms
[ITER 53][CUDA] kernel_solve_P = 164.870743 ms
[ITER 53][CUDA] kernel_solve_Z = 507.563782 ms
[ITER 53][CUDA] kernel_solve_C = 531.071289 ms
[ITER 53][CUDA] H2D = 0.000000 ms
[ITER 53][CUDA] D2H = 0.000000 ms
[ITER 53][CUDA] timestep_total = 4125.856934 ms
[ITER 54][CUDA] kernel_solve_U = 1405.841675 ms
[ITER 54][CUDA] kernel_solve_V = 1435.061279 ms
[ITER 54][CUDA] kernel_solve_P = 166.016449 ms
[ITER 54][CUDA] kernel_solve_Z = 507.089874 ms
[ITER 54][CUDA] kernel_solve_C = 530.904175 ms
[ITER 54][CUDA] H2D = 0.000000 ms
[ITER 54][CUDA] D2H = 0.000000 ms
[ITER 54][CUDA] timestep_total = 4121.376465 ms
[ITER 55][CUDA] kernel_solve_U = 1408.802490 ms
[ITER 55][CUDA] kernel_solve_V = 1438.648193 ms
[ITER 55][CUDA] kernel_solve_P = 165.076675 ms
[ITER 55][CUDA] kernel_solve_Z = 507.924805 ms
[ITER 55][CUDA] kernel_solve_C = 531.444031 ms
[ITER 55][CUDA] H2D = 0.000000 ms
[ITER 55][CUDA] D2H = 0.000000 ms
[ITER 55][CUDA] timestep_total = 4128.173828 ms
[ITER 56][CUDA] kernel_solve_U = 1426.441528 ms
[ITER 56][CUDA] kernel_solve_V = 1456.575073 ms
[ITER 56][CUDA] kernel_solve_P = 167.063431 ms
[ITER 56][CUDA] kernel_solve_Z = 514.333496 ms
[ITER 56][CUDA] kernel_solve_C = 537.893555 ms
[ITER 56][CUDA] H2D = 0.000000 ms
[ITER 56][CUDA] D2H = 0.000000 ms
[ITER 56][CUDA] timestep_total = 4179.482422 ms
[ITER 57][CUDA] kernel_solve_U = 1460.865601 ms
[ITER 57][CUDA] kernel_solve_V = 1492.064575 ms
[ITER 57][CUDA] kernel_solve_P = 170.902908 ms
[ITER 57][CUDA] kernel_solve_Z = 526.857727 ms
[ITER 57][CUDA] kernel_solve_C = 551.067139 ms
[ITER 57][CUDA] H2D = 0.000000 ms
[ITER 57][CUDA] D2H = 0.000000 ms
[ITER 57][CUDA] timestep_total = 4280.842285 ms
[ITER 58][CUDA] kernel_solve_U = 1519.122192 ms
[ITER 58][CUDA] kernel_solve_V = 1551.807983 ms
