-6.000000 8.497986 0.000000 -nan -nan -nan -nan
-6.000000 8.560567 0.000000 -nan -nan -nan -nan
-6.000000 8.623290 0.000000 -nan -nan -nan -nan
-6.000000 8.686153 0.000000 -nan -nan -nan -nan
-6.000000 8.749158 0.000000 -nan -nan -nan -nan
-6.000000 8.812303 0.000000 -nan -nan -nan -nan
-6.000000 8.875590 0.000000 -nan -nan -nan -nan
-6.000000 8.939017 0.000000 -nan -nan -nan -nan
-6.000000 9.002586 0.000000 -nan -nan -nan -nan
-6.000000 9.066296 0.000000 -nan -nan -nan -nan
-6.000000 9.130148 0.000000 -nan -nan -nan -nan
-6.000000 9.194140 0.000000 -nan -nan -nan -nan
-6.000000 9.258273 0.000000 -nan -nan -nan -nan
-6.000000 9.322548 0.000000 -nan -nan -nan -nan
-6.000000 9.386963 0.000000 -nan -nan -nan -nan
-6.000000 9.451519 0.000000 -nan -nan -nan -nan
-6.000000 9.516217 0.000000 -nan -nan -nan -nan
-6.000000 9.581055 0.000000 -nan -nan -nan -nan
-6.000000 9.646034 0.000000 -nan -nan -nan -nan
-6.000000 9.711153 0.000000 -nan -nan -nan -nan
-6.000000 9.776413 0.000000 -nan -nan -nan -nan
-6.000000 9.841814 0.000000 -nan -nan -nan -nan
-6.000000 9.907354 0.000000 -nan -nan -nan -nan
-6.000000 9.973035 0.000000 -nan -nan -nan -nan
-6.000000 10.038857 0.000000 -nan -nan -nan -nan
-6.000000 10.104818 0.000000 -nan -nan -nan -nan
-6.000000 10.170919 0.000000 -nan -nan -nan -nan
-6.000000 10.237159 0.000000 -nan -nan -nan -nan
-6.000000 10.303540 0.000000 -nan -nan -nan -nan
-6.000000 10.370059 0.000000 -nan -nan -nan -nan
-6.000000 10.436718 0.000000 -nan -nan -nan -nan
-6.000000 10.503516 0.000000 -nan -nan -nan -nan
-6.000000 10.570453 0.000000 -nan -nan -nan -nan
